name;description;imageUrl;videoUrl;targetArea;difficultyLevel
Plank;Maintain a straight stable position with arms directly under the shoulders and feet together. Keep the abdominal muscles tight without raising or lowering the hips.;https://img.freepik.com/free-photo/cute-brunette-woman-exercise-mat_144627-5955.jpg?w=1380&t=st=1708527786~exp=1708528386~hmac=382f8ed6979d5eefc527bfc422a63caf5bc2e5051dea742aee6460d650501e8a;none;Abs;MEDIUM
Lunges;From a standing position take a big step forward with one leg and lower down until both knees form almost a 90-degree angle. Return to the starting position and repeat with the other leg.;https://img.freepik.com/free-photo/fitness-confident-woman-white-sports-clothing-sexy-young-beautiful-model-with-perfect-body-female-posing-near-grey-urban-wall-studio-stretching-out-before-training-doing-lunges_158538-23243.jpg?size=626&ext=jpg&ga=GA1.1.315478025.1696840373&semt=ais;none;Quads;HARD
Squat;From a standing position bend the knees and lower the buttocks as if you were going to sit in a chair keeping the back straight. Then return to the starting position.;https://img.freepik.com/free-photo/sporty-woman-doing-squats-muscular-fitness-woman-military-sportswear-isolated-white-wall-fitness-healthy-lifestyle-concept_231208-10499.jpg?size=626&ext=jpg&ga=GA1.1.315478025.1696840373&semt=ais;none;Quads;MEDIUM
Push-ups;In a prone position place hands on the ground wider than shoulder-width apart and lift the body until arms are fully extended keeping the body straight. Lower down until you almost touch the ground and then lift the body up again.;https://img.freepik.com/free-photo/man-fitness-workout-shirtless-man-doing-stretching-home_144627-25354.jpg?size=626&ext=jpg&ga=GA1.1.315478025.1696840373&semt=ais;none;Chest;MEDIUM
Crunches;Lie on your back with knees bent and feet flat on the floor. Lift the upper body towards the knees keeping the lower back on the ground.;https://img.freepik.com/free-photo/sports-man-morning-summer-park_1157-19604.jpg?size=626&ext=jpg&ga=GA1.1.315478025.1696840373&semt=ais;none;Abs;EASY
Mountain Climbers;From a plank position rapidly alternate bringing knees to the chest simulating a running motion while prone.;https://hips.hearstapps.com/hmg-prod/images/rw-jess-mountain-climber-1596573079.jpg;none;Abs;MEDIUM
Burpees;Stand up lower down into a squat position place hands on the ground and jump back into a plank position. Do a push-up then jump forward into a squat position and jump up with arms stretched toward the ceiling.;https://whatsupmag.com/downloads/65289/download/fitness1.jpg?cb=b6bfba2be144bb527a222ba66ffd8ee7&w=1000;none;Cardiovascular;MEDIUM
Russian Twist;Sit on the ground with knees bent lean the torso slightly backward without curving the back. Rotate the torso from side to side maintaining balance.;https://hips.hearstapps.com/hmg-prod/images/russian-twist-sharpened-1548270008.jpg;none;Abs;EASY
Superman;Lie face down extend arms and legs. Lift arms chest and legs off the ground simultaneously keeping only the pelvis in contact with the ground.;https://images.ctfassets.net/hjcv6wdwxsdz/79sS2tpNEIFtGYuBfCNxYi/8367923f934c6f2369f50b3f42c57be8/superman-exercise-hold.png?w=1200;none;Lower back;EASY
Jumping Jacks;Standing with legs together and arms at your sides jump to open your legs and raise your arms above your head simultaneously. Return to the starting position and repeat.;https://www.researchgate.net/publication/341734848/figure/fig1/AS:896516470362114@1590757591713/Sample-of-Jumping-Jacks-Exercise-4.png;none;Cardiovascular;EASY
